user_id,post_id,rating
129,2,True
1,2,True
133,2,False
7,2,True
9,2,True
10,2,False
142,2,False
145,2,True
150,2,True
23,2,True
153,2,True
26,2,True
28,2,True
29,2,False
30,2,True
159,2,True
32,2,True
33,2,False
163,2,True
165,2,True
166,2,True
167,2,True
37,2,False
39,2,True
170,2,True
44,2,True
173,2,True
46,2,True
47,2,True
176,2,False
177,2,True
178,2,True
49,2,False
174,2,True
181,2,False
51,2,False
55,2,False
56,2,True
57,2,True
186,2,False
184,2,True
180,2,True
194,2,True
68,2,True
198,2,True
204,2,True
76,2,True
206,2,True
80,2,True
209,2,False
82,2,True
83,2,False
86,2,True
215,2,True
214,2,True
89,2,False
223,2,True
101,2,True
175,2,False
117,2,True
119,2,False
1,3,True
7,3,True
8,3,False
11,3,True
16,3,True
25,3,True
34,3,True
35,3,True
38,3,True
41,3,True
42,3,False
47,3,True
49,3,True
50,3,False
51,3,True
53,3,True
55,3,False
56,3,False
57,3,True
59,3,True
60,3,True
61,3,True
62,3,True
64,3,True
65,3,True
66,3,True
69,3,True
76,3,True
79,3,True
81,3,True
82,3,True
87,3,True
94,3,False
96,3,False
97,3,True
98,3,True
100,3,False
103,3,True
104,3,False
108,3,True
115,3,True
126,3,True
132,3,False
135,3,True
137,3,True
138,3,True
139,3,True
143,3,True
144,3,True
145,3,True
147,3,False
149,3,True
160,3,False
165,3,True
166,3,True
169,3,True
175,3,True
176,3,True
178,3,False
179,3,False
180,3,True
182,3,True
184,3,False
185,3,True
186,3,True
190,3,True
196,3,True
197,3,True
198,3,True
200,3,False
202,3,False
203,3,True
210,3,False
211,3,True
214,3,False
215,3,True
216,3,True
222,3,True
128,4,False
133,4,True
14,4,True
146,4,True
155,4,True
160,4,True
162,4,False
40,4,True
177,4,False
192,4,True
193,4,False
71,4,True
204,4,True
210,4,True
214,4,True
90,4,True
106,4,True
118,4,True
119,4,False
120,4,True
2,5,False
4,5,True
134,5,True
10,5,True
11,5,False
145,5,True
17,5,True
147,5,False
18,5,True
20,5,True
155,5,False
157,5,True
30,5,True
158,5,True
35,5,True
171,5,False
175,5,True
177,5,True
178,5,True
62,5,False
191,5,True
67,5,True
197,5,True
199,5,False
202,5,True
74,5,True
76,5,False
82,5,True
86,5,True
218,5,False
99,5,False
103,5,True
105,5,True
108,5,True
109,5,False
110,5,True
115,5,True
118,5,False
122,5,False
6,6,True
8,6,True
11,6,True
12,6,True
13,6,True
14,6,True
17,6,True
23,6,True
25,6,False
26,6,False
28,6,False
29,6,True
31,6,False
35,6,True
38,6,True
42,6,False
43,6,True
46,6,False
47,6,False
51,6,False
52,6,True
56,6,True
60,6,True
65,6,False
69,6,True
70,6,True
73,6,True
74,6,True
79,6,True
83,6,True
84,6,True
91,6,True
94,6,True
95,6,True
96,6,True
98,6,False
105,6,True
106,6,True
109,6,False
115,6,False
127,6,False
131,6,True
133,6,True
134,6,False
137,6,True
140,6,True
143,6,True
144,6,True
146,6,True
147,6,True
148,6,True
150,6,True
154,6,True
156,6,True
158,6,True
162,6,True
166,6,True
167,6,True
168,6,False
169,6,True
170,6,True
175,6,True
183,6,True
185,6,True
187,6,True
188,6,True
191,6,True
192,6,True
194,6,True
209,6,False
214,6,False
215,6,False
216,6,True
217,6,True
219,6,False
220,6,True
223,6,False
224,6,True
136,7,True
137,7,False
138,7,True
141,7,True
149,7,True
150,7,False
166,7,True
39,7,False
168,7,False
169,7,True
47,7,True
48,7,True
52,7,True
183,7,True
185,7,False
187,7,True
189,7,True
62,7,True
68,7,True
197,7,True
69,7,False
71,7,True
200,7,False
73,7,True
202,7,True
74,7,True
76,7,False
77,7,False
79,7,True
86,7,False
88,7,True
91,7,True
109,7,True
111,7,True
121,7,True
123,7,False
126,7,True
1,8,True
129,8,True
130,8,False
5,8,False
136,8,True
9,8,True
142,8,True
143,8,True
20,8,True
151,8,True
26,8,True
155,8,False
162,8,True
38,8,False
40,8,False
171,8,True
172,8,True
173,8,True
185,8,True
189,8,True
200,8,True
72,8,False
203,8,False
76,8,True
78,8,True
79,8,False
212,8,False
86,8,True
214,8,True
88,8,True
89,8,True
90,8,True
219,8,True
92,8,False
216,8,False
222,8,True
96,8,True
100,8,True
103,8,True
116,8,True
127,8,True
129,9,True
5,9,True
6,9,True
139,9,True
141,9,True
14,9,True
15,9,True
142,9,False
147,9,False
20,9,True
19,9,True
148,9,True
151,9,True
155,9,True
157,9,False
158,9,True
35,9,True
38,9,False
168,9,False
174,9,True
46,9,True
48,9,True
177,9,False
50,9,True
180,9,True
52,9,True
61,9,True
190,9,False
63,9,True
192,9,False
191,9,True
194,9,True
67,9,True
68,9,True
197,9,True
201,9,True
75,9,True
84,9,True
217,9,True
90,9,False
96,9,True
97,9,True
102,9,True
103,9,True
106,9,True
109,9,True
110,9,False
113,9,True
116,9,True
124,9,True
125,9,True
126,9,True
127,9,True
33,11,True
99,11,True
70,11,True
72,11,True
201,11,True
175,11,False
82,11,True
182,11,True
24,11,True
1,12,False
3,12,True
132,12,True
134,12,True
148,12,False
22,12,True
162,12,True
35,12,True
163,12,True
164,12,True
167,12,True
171,12,True
44,12,True
173,12,True
49,12,True
50,12,False
56,12,False
64,12,True
193,12,True
67,12,True
74,12,False
206,12,True
83,12,True
87,12,False
89,12,True
92,12,True
95,12,True
104,12,True
107,12,True
112,12,True
113,12,True
117,12,False
123,12,True
125,12,True
40,13,False
12,13,True
205,13,True
180,13,True
28,13,True
94,13,True
38,14,True
71,14,True
46,14,True
112,14,True
87,14,True
9,15,False
143,15,True
17,15,True
24,15,True
162,15,True
34,15,True
169,15,True
50,15,False
187,15,True
194,15,False
199,15,True
72,15,True
83,15,True
85,15,True
87,15,True
220,15,True
221,15,True
224,15,True
109,15,True
110,15,True
113,15,True
114,15,True
117,15,True
121,15,True
122,15,True
128,16,False
8,16,True
148,16,True
151,16,False
152,16,True
153,16,True
28,16,False
29,16,True
158,16,True
159,16,True
161,16,True
163,16,True
164,16,True
166,16,True
40,16,True
170,16,False
171,16,True
46,16,False
50,16,True
182,16,True
185,16,False
57,16,True
189,16,True
190,16,True
62,16,True
64,16,True
63,16,True
61,16,True
68,16,True
196,16,False
198,16,True
72,16,True
203,16,False
204,16,True
76,16,True
82,16,True
217,16,False
219,16,True
92,16,True
222,16,True
223,16,True
94,16,False
95,16,True
98,16,True
103,16,False
115,16,True
117,16,True
119,16,False
122,16,True
127,16,True
129,17,False
130,17,False
2,17,True
137,17,False
10,17,True
139,17,True
14,17,True
143,17,True
148,17,False
152,17,True
24,17,False
25,17,True
156,17,True
31,17,True
166,17,True
41,17,True
47,17,True
48,17,True
53,17,True
184,17,True
188,17,True
189,17,True
190,17,True
62,17,True
192,17,True
65,17,True
66,17,True
197,17,True
203,17,True
204,17,True
77,17,True
79,17,False
207,17,True
89,17,True
90,17,True
93,17,False
95,17,False
97,17,True
104,17,True
106,17,True
122,17,True
123,17,True
3,18,True
4,18,True
133,18,True
138,18,True
139,18,True
13,18,True
141,18,False
144,18,True
147,18,True
22,18,True
150,18,True
157,18,True
32,18,True
35,18,True
164,18,False
38,18,True
175,18,True
47,18,False
177,18,True
181,18,False
182,18,False
56,18,False
57,18,True
193,18,True
198,18,True
72,18,True
204,18,True
207,18,False
80,18,False
211,18,True
86,18,True
87,18,True
88,18,False
218,18,True
90,18,True
93,18,True
223,18,True
96,18,True
107,18,False
120,18,True
123,18,True
124,18,True
129,19,True
130,19,True
135,19,True
8,19,True
138,19,True
142,19,False
21,19,True
25,19,False
158,19,True
35,19,True
163,19,True
167,19,False
40,19,True
48,19,True
57,19,False
186,19,True
60,19,True
64,19,True
68,19,False
70,19,True
71,19,True
201,19,False
75,19,True
205,19,False
208,19,True
210,19,True
213,19,True
216,19,True
219,19,False
92,19,True
221,19,True
94,19,False
223,19,True
97,19,True
104,19,True
106,19,True
108,19,True
123,19,False
127,19,True
131,20,True
8,20,True
139,20,True
12,20,True
141,20,True
144,20,False
17,20,True
149,20,True
24,20,False
154,20,True
27,20,True
155,20,True
29,20,False
31,20,True
32,20,True
159,20,True
164,20,True
37,20,True
41,20,True
171,20,True
45,20,True
174,20,True
177,20,False
50,20,True
179,20,False
180,20,True
49,20,True
182,20,True
185,20,False
58,20,True
60,20,True
61,20,True
64,20,True
67,20,True
198,20,True
199,20,False
72,20,True
201,20,False
203,20,True
75,20,True
76,20,True
206,20,False
207,20,True
78,20,True
81,20,True
80,20,False
83,20,True
89,20,True
92,20,True
221,20,True
222,20,False
224,20,True
96,20,True
98,20,False
100,20,True
101,20,True
106,20,True
107,20,True
108,20,False
110,20,True
113,20,True
115,20,True
120,20,True
122,20,True
123,20,True
128,21,True
1,21,True
130,21,True
131,21,True
132,21,False
4,21,True
133,21,True
135,21,True
10,21,True
142,21,False
19,21,True
148,21,False
152,21,True
27,21,True
